start_time,end_time
1996-05-27 15:00:00,1996-05-29 03:00:00
1996-07-01 13:20:00,1996-07-02 11:00:00
1996-08-07 06:00:00,1996-08-08 10:00:00
1996-12-23 16:00:00,1996-12-25 11:00:00
1997-01-10 01:04:00,1997-01-11 02:00:00
1997-02-09 13:21:00,1997-02-10 19:00:00
1997-04-10 17:45:00,1997-04-11 19:00:00
1997-04-21 06:00:00,1997-04-23 04:00:00
1997-05-15 01:59:00,1997-05-16 00:00:00
1997-05-26 09:57:00,1997-05-27 10:00:00
1997-06-08 16:36:00,1997-06-10 00:00:00
1997-06-19 00:32:00,1997-06-20 23:00:00
1997-07-15 03:11:00,1997-07-16 11:00:00
1997-08-03 10:42:00,1997-08-04 03:00:00
1997-08-17 02:00:00,1997-08-17 20:00:00
1997-09-03 08:00:00,1997-09-03 21:00:00
1997-09-21 16:51:00,1997-09-22 16:00:00
1997-10-01 00:59:00,1997-10-02 23:00:00
1997-10-10 03:00:00,1997-10-10 22:00:00
1997-10-10 16:12:00,1997-10-12 00:00:00
1997-10-26 12:00:00,1997-10-28 07:00:00
1997-11-06 22:48:00,1997-11-09 12:00:00
1997-11-22 09:49:00,1997-11-23 14:00:00
1997-11-23 19:00:00,1997-11-25 00:00:00
1997-12-10 05:26:00,1997-12-12 00:00:00
1997-12-30 02:09:00,1997-12-31 11:00:00
1998-01-06 14:16:00,1998-01-08 22:00:00
1998-01-09 07:00:00,1998-01-10 08:00:00
1998-01-20 00:00:00,1998-01-21 04:00:00
1998-01-21 04:00:00,1998-01-22 13:00:00
1998-01-28 16:00:00,1998-01-31 01:00:00
1998-02-04 00:00:00,1998-02-05 23:00:00
1998-02-17 04:00:00,1998-02-17 21:00:00
1998-02-18 07:50:00,1998-02-20 00:00:00
1998-03-04 11:56:00,1998-03-06 09:00:00
1998-03-25 10:00:00,1998-03-26 10:00:00
1998-03-30 22:00:00,1998-04-03 02:00:00
1998-04-11 23:00:00,1998-04-13 18:00:00
1998-05-01 21:56:00,1998-05-04 02:00:00
1998-05-04 02:15:00,1998-05-07 23:00:00
1998-06-02 08:00:00,1998-06-02 18:00:00
1998-06-13 19:25:00,1998-06-15 06:00:00
1998-06-24 10:00:00,1998-06-25 23:00:00
1998-06-25 16:36:00,1998-06-26 19:00:00
1998-07-05 03:15:00,1998-07-09 07:00:00
1998-07-10 23:00:00,1998-07-13 15:00:00
1998-08-01 04:00:00,1998-08-03 10:00:00
1998-08-05 13:00:00,1998-08-06 12:00:00
1998-08-07 11:00:00,1998-08-09 23:00:00
1998-08-10 00:46:00,1998-08-10 22:00:00
1998-08-11 23:00:00,1998-08-13 14:00:00
1998-08-19 18:47:00,1998-08-21 20:00:00
1998-08-26 06:51:00,1998-08-28 00:00:00
1998-09-23 02:00:00,1998-09-23 18:00:00
1998-09-24 23:45:00,1998-09-26 16:00:00
1998-10-18 19:52:00,1998-10-20 07:00:00
1998-10-23 12:30:00,1998-10-24 16:00:00
1998-11-07 08:15:00,1998-11-09 01:00:00
1998-11-08 04:51:00,1998-11-11 01:00:00
1998-11-13 01:43:00,1998-11-14 12:00:00
1998-11-30 05:07:00,1998-12-01 04:00:00
1998-12-28 18:26:00,1998-12-31 02:00:00
1999-01-04 00:00:00,1999-01-04 22:00:00
1999-01-13 10:54:00,1999-01-13 23:00:00
1999-01-22 19:50:00,1999-01-23 18:00:00
1999-02-13 19:00:00,1999-02-14 15:00:00
1999-02-16 15:00:00,1999-02-17 11:00:00
1999-02-17 07:09:00,1999-02-18 10:00:00
1999-02-18 02:46:00,1999-02-20 17:00:00
1999-03-10 01:30:00,1999-03-12 02:00:00
1999-03-19 10:00:00,1999-03-20 12:00:00
1999-04-16 11:25:00,1999-04-17 19:00:00
1999-04-20 16:00:00,1999-04-22 14:00:00
1999-05-15 16:00:00,1999-05-18 00:00:00
1999-06-02 20:00:00,1999-06-03 22:00:00
1999-06-26 20:16:00,1999-06-29 04:00:00
1999-07-02 00:59:00,1999-07-06 06:00:00
1999-07-06 15:09:00,1999-07-07 02:00:00
1999-07-07 06:00:00,1999-07-08 04:00:00
1999-07-26 23:33:00,1999-07-29 12:00:00
1999-07-30 16:00:00,1999-07-31 08:00:00
1999-07-31 18:37:00,1999-08-02 06:00:00
1999-08-02 11:00:00,1999-08-03 15:00:00
1999-08-08 18:41:00,1999-08-10 17:00:00
1999-08-11 23:00:00,1999-08-14 00:00:00
1999-08-20 23:00:00,1999-08-23 11:00:00
1999-09-21 12:00:00,1999-09-22 12:00:00
1999-09-22 12:22:00,1999-09-24 03:00:00
1999-10-21 02:25:00,1999-10-22 07:00:00
1999-11-11 19:00:00,1999-11-13 18:00:00
1999-11-13 12:00:00,1999-11-15 00:00:00
1999-11-22 00:00:00,1999-11-24 03:00:00
1999-12-12 15:51:00,1999-12-13 16:00:00
1999-12-13 23:00:00,1999-12-14 20:00:00
1999-12-26 21:30:00,1999-12-28 04:00:00
2000-01-22 00:23:00,2000-01-23 02:00:00
2000-02-11 02:58:00,2000-02-11 20:00:00
2000-02-11 23:52:00,2000-02-13 00:00:00
2000-02-14 07:31:00,2000-02-16 08:00:00
2000-02-20 21:39:00,2000-02-22 12:00:00
2000-03-01 01:30:00,2000-03-02 03:00:00
2000-03-18 22:00:00,2000-03-19 12:00:00
2000-03-29 11:00:00,2000-04-01 00:00:00
2000-04-06 16:39:00,2000-04-08 06:00:00
2000-04-18 20:00:00,2000-04-19 14:00:00
2000-04-24 04:00:00,2000-04-24 13:00:00
2000-05-02 10:45:00,2000-05-05 10:00:00
2000-05-07 00:00:00,2000-05-08 00:00:00
2000-05-13 17:00:00,2000-05-14 18:00:00
2000-05-15 19:00:00,2000-05-16 14:00:00
2000-05-16 23:00:00,2000-05-17 07:00:00
2000-05-22 17:00:00,2000-05-23 21:00:00
2000-05-23 23:42:00,2000-05-27 10:00:00
2000-06-04 15:02:00,2000-06-06 22:00:00
2000-06-08 09:10:00,2000-06-10 17:00:00
2000-06-11 08:01:00,2000-06-11 18:00:00
2000-06-12 22:08:00,2000-06-14 06:00:00
2000-06-18 09:00:00,2000-06-18 17:00:00
2000-06-23 13:03:00,2000-06-26 08:00:00
2000-06-26 00:00:00,2000-06-27 00:00:00
2000-07-01 01:00:00,2000-07-03 17:00:00
2000-07-10 06:38:00,2000-07-11 14:00:00
2000-07-11 11:23:00,2000-07-13 03:00:00
2000-07-13 09:42:00,2000-07-14 15:00:00
2000-07-14 15:32:00,2000-07-15 14:00:00
2000-07-15 14:37:00,2000-07-17 08:00:00
2000-07-19 15:27:00,2000-07-21 08:00:00
2000-07-23 10:41:00,2000-07-26 05:00:00
2000-07-26 18:57:00,2000-07-28 02:00:00
2000-07-28 06:34:00,2000-07-30 13:00:00
2000-08-10 05:01:00,2000-08-11 21:00:00
2000-08-11 18:45:00,2000-08-13 22:00:00
2000-09-02 22:00:00,2000-09-03 13:00:00
2000-09-08 12:00:00,2000-09-10 10:00:00
2000-09-17 16:57:00,2000-09-21 00:00:00
2000-10-03 00:54:00,2000-10-05 03:00:00
2000-10-05 03:26:00,2000-10-07 11:00:00
2000-10-12 22:28:00,2000-10-14 17:00:00
2000-10-28 09:54:00,2000-10-29 22:00:00
2000-11-06 09:48:00,2000-11-08 03:00:00
2000-11-08 12:00:00,2000-11-09 15:00:00
2000-11-11 04:00:00,2000-11-12 00:00:00
2000-11-26 11:58:00,2000-11-28 03:00:00
2000-11-28 05:30:00,2000-11-29 22:00:00
2000-12-21 12:00:00,2000-12-22 20:00:00
2000-12-22 19:25:00,2000-12-23 12:00:00
2001-01-23 10:48:00,2001-01-26 07:00:00
2001-03-03 11:21:00,2001-03-05 02:00:00
2001-03-19 11:14:00,2001-03-22 00:00:00
2001-03-27 01:10:00,2001-03-28 17:00:00
2001-03-27 17:47:00,2001-03-30 18:00:00
2001-03-31 00:52:00,2001-03-31 22:00:00
2001-03-31 22:00:00,2001-04-03 15:00:00
2001-04-04 14:55:00,2001-04-05 12:00:00
2001-04-08 11:01:00,2001-04-09 04:00:00
2001-04-11 13:43:00,2001-04-13 07:00:00
2001-04-13 07:34:00,2001-04-14 12:00:00
2001-04-15 17:00:00,2001-04-16 01:00:00
2001-04-18 00:46:00,2001-04-20 11:00:00
2001-04-21 16:01:00,2001-04-23 03:00:00
2001-04-28 05:01:00,2001-05-01 02:00:00
2001-05-03 11:00:00,2001-05-04 10:00:00
2001-05-07 08:00:00,2001-05-08 07:00:00
2001-05-08 11:01:00,2001-05-10 22:00:00
2001-05-11 13:00:00,2001-05-12 00:00:00
2001-05-27 14:59:00,2001-05-31 14:00:00
2001-06-07 08:52:00,2001-06-08 07:00:00
2001-06-27 03:00:00,2001-06-28 17:00:00
2001-07-08 12:00:00,2001-07-11 04:00:00
2001-07-13 17:00:00,2001-07-14 01:00:00
2001-08-03 07:16:00,2001-08-03 14:00:00
2001-08-15 05:00:00,2001-08-16 14:00:00
2001-08-17 11:03:00,2001-08-19 16:00:00
2001-08-30 14:11:00,2001-08-31 10:00:00
2001-09-01 13:00:00,2001-09-02 22:00:00
2001-09-13 02:31:00,2001-09-14 22:00:00
2001-09-23 20:00:00,2001-09-24 22:00:00
2001-09-25 00:00:00,2001-09-25 20:00:00
2001-09-29 09:40:00,2001-10-01 00:00:00
2001-09-30 19:24:00,2001-10-02 00:00:00
2001-10-01 21:15:00,2001-10-02 12:00:00
2001-10-02 12:00:00,2001-10-03 16:00:00
2001-10-04 14:00:00,2001-10-05 19:00:00
2001-10-11 17:01:00,2001-10-12 09:00:00
2001-10-21 16:48:00,2001-10-25 10:00:00
2001-10-26 22:00:00,2001-10-28 12:00:00
2001-10-28 03:19:00,2001-10-31 13:00:00
2001-10-31 13:48:00,2001-11-02 12:00:00
2001-11-05 10:00:00,2001-11-06 06:00:00
2001-11-06 01:52:00,2001-11-09 03:00:00
2001-11-19 18:15:00,2001-11-21 13:00:00
2001-11-24 06:56:00,2001-11-25 20:00:00
2001-12-28 00:00:00,2001-12-29 12:00:00
2001-12-29 05:38:00,2001-12-30 18:00:00
2002-02-28 04:51:00,2002-03-02 00:00:00
2002-03-18 13:22:00,2002-03-20 16:00:00
2002-03-20 13:28:00,2002-03-22 06:00:00
2002-03-23 11:37:00,2002-03-25 20:00:00
2002-04-12 01:00:00,2002-04-13 13:00:00
2002-04-17 11:07:00,2002-04-19 15:00:00
2002-04-19 08:35:00,2002-04-21 18:00:00
2002-05-11 10:14:00,2002-05-12 00:00:00
2002-05-20 03:40:00,2002-05-21 22:00:00
2002-05-23 10:50:00,2002-05-25 18:00:00
2002-07-17 16:03:00,2002-07-19 09:00:00
2002-07-19 14:50:00,2002-07-22 06:00:00
2002-07-31 11:00:00,2002-08-01 09:00:00
2002-08-01 05:10:00,2002-08-01 23:00:00
2002-08-01 23:09:00,2002-08-04 02:00:00
2002-08-18 18:46:00,2002-08-21 14:00:00
2002-08-29 21:00:00,2002-08-30 06:00:00
2002-09-07 12:00:00,2002-09-08 04:00:00
2002-09-07 16:36:00,2002-09-08 20:00:00
2002-09-08 20:00:00,2002-09-10 21:00:00
2002-09-19 06:00:00,2002-09-20 21:00:00
2002-09-30 08:15:00,2002-10-01 15:00:00
2002-10-02 22:10:00,2002-10-04 18:00:00
2002-11-16 23:05:00,2002-11-19 12:00:00
2002-12-17 18:00:00,2002-12-19 12:00:00
2002-12-20 17:00:00,2002-12-22 19:00:00
2003-01-26 00:00:00,2003-01-28 14:00:00
2003-02-01 13:05:00,2003-02-03 07:00:00
2003-02-17 21:50:00,2003-02-19 16:00:00
2003-03-20 04:40:00,2003-03-20 22:00:00
2003-05-09 04:55:00,2003-05-11 00:00:00
2003-05-29 12:24:00,2003-05-29 18:00:00
2003-05-29 18:25:00,2003-05-30 16:00:00
2003-05-30 16:00:00,2003-06-01 01:00:00
2003-06-15 15:00:00,2003-06-16 21:00:00
2003-06-16 18:00:00,2003-06-18 08:00:00
2003-07-23 14:00:00,2003-07-24 16:00:00
2003-08-04 17:00:00,2003-08-06 02:00:00
2003-08-15 12:00:00,2003-08-17 16:00:00
2003-08-17 14:21:00,2003-08-19 15:00:00
2003-10-21 22:00:00,2003-10-24 15:00:00
2003-10-24 15:24:00,2003-10-25 12:00:00
2003-10-25 11:00:00,2003-10-26 04:00:00
2003-10-26 19:08:00,2003-10-28 00:00:00
2003-10-28 02:06:00,2003-10-28 09:00:00
2003-10-29 06:11:00,2003-10-30 03:00:00
2003-10-30 16:19:00,2003-11-02 00:00:00
2003-11-20 08:03:00,2003-11-21 08:00:00
2004-01-09 15:00:00,2004-01-11 05:00:00
2004-01-22 01:37:00,2004-01-23 17:00:00
2004-01-23 14:25:00,2004-01-25 04:00:00
2004-02-17 18:00:00,2004-02-18 16:00:00
2004-04-03 09:00:00,2004-04-05 18:00:00
2004-04-26 16:04:00,2004-04-27 20:00:00
2004-04-30 13:00:00,2004-05-01 12:00:00
2004-05-01 12:00:00,2004-05-02 21:00:00
2004-07-22 10:36:00,2004-07-24 08:00:00
2004-07-24 06:13:00,2004-07-25 15:00:00
2004-07-25 15:00:00,2004-07-26 22:00:00
2004-07-26 22:49:00,2004-07-27 22:00:00
2004-08-01 01:00:00,2004-08-02 04:00:00
2004-08-29 09:09:00,2004-08-30 22:00:00
2004-09-13 20:03:00,2004-09-16 12:00:00
2004-09-17 21:00:00,2004-09-20 00:00:00
2004-11-07 18:27:00,2004-11-09 10:00:00
2004-11-09 18:25:00,2004-11-11 23:00:00
2004-11-11 17:10:00,2004-11-13 23:00:00
2004-12-11 13:40:00,2004-12-13 19:00:00
2004-12-27 05:00:00,2004-12-29 02:00:00
2005-01-07 09:22:00,2005-01-08 12:00:00
2005-01-08 17:00:00,2005-01-09 18:00:00
2005-01-16 11:00:00,2005-01-17 07:00:00
2005-01-18 21:00:00,2005-01-20 03:00:00
2005-01-21 17:11:00,2005-01-22 17:00:00
2005-01-31 09:00:00,2005-02-02 09:00:00
2005-02-17 22:00:00,2005-02-19 06:00:00
2005-02-20 12:00:00,2005-02-22 07:00:00
2005-02-22 10:00:00,2005-02-23 19:00:00
2005-05-15 02:38:00,2005-05-19 00:00:00
2005-05-20 03:00:00,2005-05-22 02:00:00
2005-05-28 04:36:00,2005-05-29 15:00:00
2005-05-29 09:52:00,2005-05-30 23:00:00
2005-05-30 23:00:00,2005-06-01 03:00:00
2005-06-12 07:45:00,2005-06-13 13:00:00
2005-06-14 18:35:00,2005-06-16 09:00:00
2005-06-16 08:47:00,2005-06-17 19:00:00
2005-07-10 03:37:00,2005-07-12 04:00:00
2005-07-17 01:34:00,2005-07-18 23:00:00
2005-08-09 00:00:00,2005-08-09 19:00:00
2005-08-10 06:00:00,2005-08-10 11:00:00
2005-08-23 20:00:00,2005-08-24 11:00:00
2005-08-24 06:13:00,2005-08-24 23:00:00
2005-09-02 14:19:00,2005-09-03 04:00:00
2005-09-11 01:14:00,2005-09-12 07:00:00
2005-09-12 06:05:00,2005-09-13 13:00:00
2005-09-13 09:00:00,2005-09-14 08:00:00
2005-09-15 06:00:00,2005-09-16 18:00:00
2005-09-20 18:00:00,2005-09-21 18:00:00
2005-10-31 02:00:00,2005-10-31 19:00:00
2005-12-31 00:00:00,2006-01-01 17:00:00
2006-02-05 20:00:00,2006-02-06 12:00:00
2006-04-13 11:41:00,2006-04-14 07:00:00
2006-04-14 13:00:00,2006-04-14 21:00:00
2006-07-09 21:36:00,2006-07-11 19:00:00
2006-08-19 11:31:00,2006-08-21 16:00:00
2006-08-30 20:00:00,2006-09-01 07:00:00
2006-09-30 03:00:00,2006-09-30 20:00:00
2006-11-01 17:00:00,2006-11-02 14:00:00
2006-11-18 10:00:00,2006-11-20 02:00:00
2006-11-28 13:00:00,2006-11-30 10:00:00
2006-12-14 14:14:00,2006-12-15 13:00:00
2006-12-15 20:00:00,2006-12-16 19:00:00
2006-12-16 17:55:00,2006-12-17 17:00:00
2007-01-14 12:48:00,2007-01-15 07:00:00
2007-11-19 18:11:00,2007-11-20 12:00:00
2008-09-17 00:00:00,2008-09-18 08:00:00
2008-12-04 04:00:00,2008-12-05 11:00:00
2008-12-16 11:59:00,2008-12-17 14:00:00
2009-01-18 21:00:00,2009-01-19 05:00:00
2009-01-25 22:24:00,2009-01-26 15:00:00
2009-02-03 20:00:00,2009-02-04 16:00:00
2009-06-03 16:00:00,2009-06-05 16:00:00
2009-06-27 14:00:00,2009-06-28 16:00:00
2009-07-20 14:00:00,2009-07-22 04:00:00
2009-09-30 01:00:00,2009-10-01 00:00:00
2009-10-29 05:00:00,2009-10-29 23:00:00
2009-11-13 20:00:00,2009-11-15 00:00:00
2009-12-12 06:51:00,2009-12-13 22:00:00
2009-12-19 10:00:00,2009-12-20 17:00:00
2010-01-01 22:00:00,2010-01-03 10:00:00
2010-02-07 17:00:00,2010-02-08 22:00:00
2010-02-11 00:00:00,2010-02-12 03:00:00
2010-02-19 15:00:00,2010-02-20 18:00:00
2010-02-21 00:00:00,2010-02-22 00:00:00
2010-02-22 13:00:00,2010-02-22 22:00:00
2010-04-05 08:26:00,2010-04-06 14:00:00
2010-04-09 18:00:00,2010-04-10 16:00:00
2010-04-11 13:04:00,2010-04-12 15:00:00
2010-04-30 06:00:00,2010-05-01 12:00:00
2010-05-28 02:58:00,2010-05-29 17:00:00
2010-06-20 20:00:00,2010-06-22 14:00:00
2010-08-03 17:41:00,2010-08-05 00:00:00
2010-10-30 10:15:00,2010-11-01 21:00:00
2010-12-28 03:00:00,2010-12-28 15:00:00
2011-01-24 07:00:00,2011-01-25 12:00:00
2011-02-04 13:00:00,2011-02-04 20:00:00
2011-02-18 01:30:00,2011-02-20 08:00:00
2011-03-06 03:31:00,2011-03-08 06:00:00
2011-03-29 16:02:00,2011-03-31 04:00:00
2011-05-28 01:00:00,2011-05-28 21:00:00
2011-06-04 20:45:00,2011-06-05 19:00:00
2011-06-17 02:41:00,2011-06-17 13:00:00
2011-07-06 02:58:00,2011-07-07 12:00:00
2011-07-14 12:00:00,2011-07-16 15:00:00
2011-08-04 21:53:00,2011-08-05 14:00:00
2011-08-05 17:51:00,2011-08-07 22:00:00
2011-09-08 10:00:00,2011-09-09 12:00:00
2011-09-09 12:42:00,2011-09-10 15:00:00
2011-09-16 19:00:00,2011-09-17 05:00:00
2011-09-17 03:43:00,2011-09-18 06:00:00
2011-09-18 10:00:00,2011-09-18 21:00:00
2011-09-22 03:00:00,2011-09-23 03:00:00
2011-09-26 12:34:00,2011-09-28 15:00:00
2011-10-05 07:36:00,2011-10-05 22:00:00
2011-10-06 12:00:00,2011-10-06 23:00:00
2011-10-07 02:47:00,2011-10-07 17:00:00
2011-10-22 21:00:00,2011-10-23 16:00:00
2011-10-24 18:31:00,2011-10-25 16:00:00
2011-10-30 10:01:00,2011-10-31 15:00:00
2011-11-01 09:07:00,2011-11-03 04:00:00
2011-11-07 15:00:00,2011-11-07 23:00:00
2011-11-12 05:59:00,2011-11-15 02:00:00
2011-11-28 21:50:00,2011-11-29 08:00:00
2011-12-02 17:17:00,2011-12-03 07:00:00
2011-12-25 02:00:00,2011-12-25 17:00:00
2011-12-29 22:00:00,2011-12-30 09:00:00
2012-01-21 05:01:00,2012-01-22 08:00:00
2012-01-22 06:11:00,2012-01-23 07:00:00
2012-02-14 07:00:00,2012-02-16 06:00:00
2012-02-16 07:00:00,2012-02-18 00:00:00
2012-02-26 21:39:00,2012-02-28 16:00:00
2012-02-29 05:00:00,2012-03-01 00:00:00
2012-03-02 21:00:00,2012-03-04 02:00:00
2012-03-06 08:00:00,2012-03-06 15:00:00
2012-03-08 11:03:00,2012-03-11 07:00:00
2012-03-15 13:06:00,2012-03-16 10:00:00
2012-04-23 03:20:00,2012-04-24 05:00:00
2012-04-25 17:00:00,2012-04-27 18:00:00
2012-05-16 16:00:00,2012-05-17 22:00:00
2012-06-08 07:00:00,2012-06-10 14:00:00
2012-06-16 20:19:00,2012-06-17 12:00:00
2012-07-04 19:00:00,2012-07-06 08:00:00
2012-07-08 08:00:00,2012-07-09 14:00:00
2012-07-14 18:09:00,2012-07-17 05:00:00
2012-07-21 16:12:00,2012-07-23 16:00:00
2012-09-01 06:00:00,2012-09-03 15:00:00
2012-09-03 12:13:00,2012-09-05 02:00:00
2012-09-04 22:45:00,2012-09-05 18:00:00
2012-09-06 02:00:00,2012-09-06 15:00:00
2012-09-30 11:31:00,2012-09-30 20:00:00
2012-09-30 23:05:00,2012-10-02 00:00:00
2012-10-02 22:00:00,2012-10-03 06:00:00
2012-10-08 05:16:00,2012-10-09 12:00:00
2012-10-12 19:00:00,2012-10-13 10:00:00
2012-10-31 15:38:00,2012-11-02 03:00:00
2012-11-09 03:00:00,2012-11-09 15:00:00
2012-11-12 23:11:00,2012-11-14 03:00:00
2012-11-23 21:52:00,2012-11-25 10:00:00
2012-11-26 05:12:00,2012-11-28 05:00:00
